name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,"Vivina, NADCO Shopping Centre, 9+ Years Exp. Office No. 6, 1st Floor, Alankar Society, Swami Vivekananda Rd, above Tripti Sweets, Andheri West, Mumbai, Maharashtra 400058",emgc.in,"4R9W+F5 Mumbai, Maharashtra",,,19.1186342,72.5570303
,"15, Bismillah Building, Infront of Suvidha, Station, opp. Dadar West, Dadar West, Dadar, Mumbai, Maharashtra 400028",theprayasindia.com,077100 13217,,,19.1186342,72.5570303
,"9, A2, near Bima Nagar, opposite Vishal Hall, Scindia Society, Bima Nagar, Andheri East, Mumbai, Maharashtra 400069",,Send to your phone,,,19.1186342,72.5570303
,"Office No. 4, 2nd Floor, QDS Pro Coaching Class, Aradhana Co-op Housing Society, R. R. Marg, near Central Plaza Cinema, Charni Road, Opera House, E, Mumbai, Maharashtra 400004",qdspro.com,099207 15001,,,19.1186342,72.5570303
,"Orchid Plaza, 205, Swami Vivekananda Rd, behind Gokul Shopping Complex, Meghdoot, Mhatre Wadi, Borivali, Mumbai, Maharashtra 400092",,,,,19.1186342,72.5570303
,"Neptune Magnet Mall, D-204, Lal Bahadur Shastri Marg, near Metro, Ganesh Nagar, Bhandup West, Mumbai, Maharashtra 400078",forms.gle,077100 13217,,,19.1186342,72.5570303
,"Room No B 10-1/4 GRD.Floor, Uttar Bharti Society, Sant Rohidas Marg, opp. Kalpataru Building, Kala Qila, Dharavi, Mumbai, Maharashtra 400017",business.site,"2VX5+5C Mumbai, Maharashtra",,,19.1186342,72.5570303
,"1st Floor, Goragandhi Apartment, Chandavarkar Rd, near Race Academy, above Goragandhi Restaurant, Shanti Nagar, Borivali West, Mumbai, Maharashtra 400092",successforumedu.com,"6VJ4+CJ Mumbai, Maharashtra",,,19.1186342,72.5570303
,"Mahavir Petrol Pump, Lal Bahadur Shastri Marg, Kurla West, Kurla, Mumbai, Maharashtra 400070",,Send to your phone,,,19.1186342,72.5570303
,"6th Floor, Laxmi Commercial Complex, Senapati Bapat Marg, near Manish Market, opp. Dadar Railway Station, Dadar West, Dadar, Mumbai, Maharashtra 400028",reliableacademy.com,"2R8R+W9 Mumbai, Maharashtra",,,19.1186342,72.5570303
,"B, Plot No. 95, 301, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",whatsapp.com,"3V2Q+4C Mumbai, Maharashtra",,,19.1186342,72.5570303
,"303 A, 3rd Floor, Laxmi Commercial Bldg, Station, Senapati Bapat Marg, beside Phool market, above LIC office, Dadar West, Dadar, Mumbai, Maharashtra 400028",thefocusclasses.com,"2R8R+W8 Mumbai, Maharashtra",,,19.1186342,72.5570303
,"Shree Satidham CHS, 184/40B, Praja Society, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",ultimateclasses.co.in,"3WF5+C6 Mumbai, Maharashtra",,,19.1186342,72.5570303
,"1st Floor, White House, SG Barve Marg, near Anjuman Islam School, Buddha Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070",,098339 05914,,,19.1186342,72.5570303
,"202, Pinky Apartment, CST Road, next to Anjuman Islam High School, Ambedkar Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070",edunationacademy.co.in,"3VCJ+J2 Mumbai, Maharashtra",,,19.1186342,72.5570303
,"1st, Hotel, Vrindavan, Experts Academy Nishat house, Mumbai, Maharashtra 400058",,Send to your phone,,,19.1186342,72.5570303
,"Andheri - Kurla Rd, Wadia Colony, Kurla, Mumbai, Maharashtra 400070",rajclass.com,098215 54399,,,19.1186342,72.5570303
,"Neelyog Square Mall, RB Mehta Marg, Shival Nagar, MHADA Colony, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",vdshah.com,Send to your phone,,,19.1186342,72.5570303
,"Near Shivnery Building Main Gate, 90 Feet Rd, Khamba Devi Nagar, Dharavi, Mumbai, Maharashtra 400017",smarty4education.com,"2VW5+89 Mumbai, Maharashtra",,,19.1186342,72.5570303
,"Railway Station, 04 D Wing,III Floor,Goragandhi Apartmnt, Above Goragandhi Hotel Chandavarkar Road Opp. Borivali West, Borivali, Mumbai, Maharashtra 400092",,084529 23835,,,19.1186342,72.5570303
